VA,DRA 2016-2021,52.8,45.6,1.68
LA,DRA 2016-2021,38.3,59.7,2.0
MS,DRA 2016-2021,42.8,56.2,1.0
NJ,DRA 2016-2021,55.0,43.2,1.7
