Year,State,BallotsCountedVEP,HighestOfficeVEP,BallotsCounted,VotesHighestOffice,VAP,VEP,PctNonCitizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,StateAbbreviation
2014,Arkansas,0.403,0.401,852642,848592,2262057,2117881,0.038,17756,28192,21743,55287,,AR
2014,California,0.307,0.299,7513972,7317581,29677092,24440416,0.167,136088,0,87104,223192,,CA
2014,Colorado,0.547,0.537,2080071,2041020,4127123,3800664,0.070,19121,0,10067,29188,,CO
2014,Connecticut,0.425,0.423,1096556,1089880,2828562,2577311,0.082,16113,0,2564,18677,,CT
2014,Delaware,0.349,0.343,238110,234038,733971,681526,0.056,6625,15665,676,16073,,DE
2014,District of Columbia,0.357,0.353,177176,175071,548623,495899,0.092,0,0,0,0,,DC
2014,Florida,0.433,0.428,6026802,5951561,15945404,13914216,0.105,95671,227087,4519,227359,,FL
2014,Georgia,0.386,0.382,2596947,2567761,7629263,6725041,0.071,50499,471067,25547,339844,,GA
2014,Hawaii,0.365,0.362,369554,366125,1112282,1012123,0.089,5721,0,0,5721,,HI
2014,Idaho,0.398,0.393,445307,439830,1205335,1119882,0.046,7901,33450,4217,30850,,ID
2014,Illinois,0.408,0.402,3680417,3627690,9895610,9028752,0.087,46465,0,0,46465,,IL
2014,Indiana,0.287,0.278,1387622,1341814,5018794,4829510,0.037,28638,0,0,28638,,IN
2014,Iowa,0.503,0.498,1142284,1129700,2381863,2269179,0.035,8686,29929,5769,31215,,IA
2014,Kansas,0.433,0.425,887023,869502,2180860,2048164,0.053,9326,16328,4051,22521,,KS
2014,Kentucky,0.449,0.442,1459409,1435868,3400898,3247300,0.025,21402,54107,16729,68431,,KY
2014,Louisiana,0.449,0.439,1503975,1472039,3541411,3349433,0.028,37881,40979,29619,90448,,LA
2014,Maine,0.587,0.581,616996,611255,1070535,1051557,0.017,0,0,0,0,,ME
2014,Maryland,0.42,0.417,1745104,1733177,4631815,4154546,0.087,20388,79539,11537,76467,,MD
2014,Massachusetts,0.447,0.441,2186789,2158326,5381878,4896296,0.087,10014,0,0,10014,,MA
2014,Michigan,0.432,0.427,3188956,3156531,7696494,7383958,0.036,42900,0,0,42900,,MI
2014,Minnesota,0.506,0.504,1992613,1981511,4179744,3935121,0.045,10003,97661,6642,71335,,MN
2014,Mississippi,,0.29,,631858,2258047,2181131,0.017,18756,34398,9883,47902,,MS
2014,Missouri,0.336,0.317,1509025,1426303,4670553,4493722,0.025,31432,47303,18495,76417,,MO
2014,Montana,0.475,0.469,373831,369826,797527,787748,0.011,3681,0,0,3681,,MT
2014,Nebraska,0.414,0.405,552115,539891,1416500,1334453,0.051,5221,12940,1067,13534,,NE
2014,Nevada,0.296,0.293,552546,547349,2184884,1867644,0.125,12537,12027,5927,25199,,NV
2014,New Hampshire,0.483,0.476,495565,488159,1063539,1025862,0.031,2867,0,0,2867,,NH
2014,New Jersey,0.325,0.311,1955042,1869535,6940888,6014127,0.119,20255,115898,14889,100047,,NJ
2014,New Mexico,,0.354,,512805,1582259,1449503,0.074,6879,16060,2255,18128,,NM
2014,New York,0.29,0.282,3930310,3819010,15569463,13553426,0.121,48376,0,44889,93265,,NY
2014,North Carolina,0.412,0.408,2939767,2915281,7689105,7143737,0.059,35726,90918,10025,96665,,NC
2014,North Dakota,0.45,0.438,255128,248670,573831,567221,0.022,1700,0,0,1700,,ND
2014,Ohio,0.362,0.351,3149876,3055913,8961449,8701243,0.024,51024,0,0,51024,,OH
2014,Oklahoma,0.3,0.299,825607,824831,2928877,2755091,0.046,27650,28568,2560,46208,,OK
2014,Oregon,0.534,0.509,1541782,1469717,3118999,2887517,0.067,15075,0,0,15075,,OR
2014,Pennsylvania,0.365,0.361,3535576,3495866,10092331,9689491,0.035,49643,0,0,49643,,PA
2014,Rhode Island,0.424,0.417,329212,324055,843570,776286,0.073,3294,0,0,3294,,RI
2014,South Carolina,0.352,0.348,1261611,1246301,3761320,3584461,0.034,20917,35096,5225,45796,,SC
2014,South Dakota,0.447,0.443,282291,279412,640622,630989,0.022,3528,0,2611,6139,,SD
2014,Tennessee,0.298,0.286,1430117,1374065,5061583,4799476,0.035,28495,62950,13498,77245,,TN
2014,Texas,,0.283,,4727208,19958733,16675420,0.133,157361,388101,111412,486110,,TX
2014,Utah,0.303,0.297,577973,565970,2048506,1905801,0.068,6824,0,0,6824,,UT
2014,Vermont,0.408,0.389,202445,193087,504186,495884,0.022,0,0,0,0,,VT
2014,Virginia,0.368,0.366,2194346,2184473,6467462,5962456,0.069,36943,54966,1732,69456,,VA
2014,Washington,0.431,0.412,2124330,2029189,5479396,4928407,0.084,17345,94112,9880,79928,,WA
2014,West Virginia,0.32,0.312,462864,451498,1465232,1447652,0.009,6873,7174,2749,13639,,WV
2014,Wisconsin,0.569,0.566,2422248,2410314,4454970,4260427,0.031,22097,46212,20010,67986,,WI
2014,Wyoming,0.397,0.39,171153,168390,445626,431434,0.027,2330,5196,715,5955,,WY
2016,United States,0.601,0.592,138846571,136753936,250055734,230931921,0.083,1416810,2198907,506297,3176484,4739596,US
2016,Alabama,0.591,0.588,2134061,2123372,3770142,3609447,0.025,28680,52177,8562,66983,,AL
2016,Alaska,0.615,0.61,321271,318608,555367,522679,0.041,4317,6621,1812,9903,,AK
2016,Arizona,0.561,0.549,2661497,2604657,5331034,4740310,0.094,37582,77373,7500,89185,,AZ
2016,Arkansas,0.532,0.528,1137772,1130635,2286625,2140097,0.038,17242,30881,23792,58636,,AR
2016,California,0.582,0.565,14610509,14181595,30201571,25104844,0.164,130390,0,0,130390,,CA
2016,Colorado,0.719,0.7,2859216,2780247,4305728,3974405,0.070,18576,0,10186,28762,,CO
2016,Connecticut,0.649,0.637,1675955,1644920,2821935,2582761,0.078,14475,0,3379,17854,,CT
2016,Delaware,0.644,0.642,445228,443814,749872,691720,0.057,6254,15395,387,15416,,DE
2016,District of Columbia,0.607,0.604,312575,311268,562329,515248,0.084,0,0,0,0,,DC
2016,Florida,0.656,0.645,9580489,9420039,16565588,14601066,0.105,92847,214066,4566,219431,,FL
2016,Georgia,0.598,0.591,4165405,4114732,7828207,6959963,0.072,51092,410964,22386,307727,,GA
2016,Hawaii,0.432,0.423,437664,428937,1120465,1012860,0.091,5474,0,0,5474,,HI
2016,Idaho,0.609,0.592,710545,690255,1253925,1166706,0.044,7949,32409,5054,31476,,ID
2016,Illinois,0.631,0.622,5666118,5589631,9866799,8985443,0.085,42017,0,0,42017,,IL
2016,Indiana,0.579,0.564,2807676,2734958,5063393,4849937,0.037,24948,0,0,24948,,IN
2016,Iowa,0.691,0.684,1581371,1566031,2406915,2288536,0.036,8888,29254,6051,31614,,IA
2016,Kansas,0.597,0.577,1225667,1184402,2192423,2054025,0.052,9613,16654,4830,23936,,KS
2016,Kentucky,0.596,0.586,1955195,1924149,3430652,3282420,0.024,22868,48457,15383,65871,,KY
2016,Louisiana,0.606,0.6,2049531,2029032,3571652,3384435,0.027,35543,40174,30907,89349,,LA
2016,Maine,0.729,0.707,771892,747927,1078037,1058372,0.018,0,0,0,0,,ME
2016,Maryland,0.67,0.664,2807322,2781446,4670900,4189616,0.088,19382,72529,10305,71029,,MD
2016,Massachusetts,0.683,0.672,3378801,3325046,5442458,4948028,0.089,8780,0,0,8780,,MA
2016,Michigan,0.657,0.647,4874619,4799284,7744567,7420628,0.037,40502,0,0,40502,,MI
2016,Minnesota,0.747,0.741,2968281,2944813,4240423,3973204,0.046,10158,96852,7075,72439,,MN
2016,Mississippi,,0.552,,1209357,2268089,2191241,0.014,19150,29067,8645,44363,,MS
2016,Missouri,0.622,0.622,2811549,2808605,4710784,4517925,0.025,31956,43799,17792,74713,,MO
2016,Montana,0.643,0.618,516901,497147,817702,804250,0.012,3795,0,0,3795,,MT
2016,Nebraska,0.64,0.628,860573,844227,1436437,1343821,0.055,5079,13489,1088,13856,,NE
2016,Nevada,0.574,0.574,1125429,1125385,2276281,1961587,0.126,13742,13724,5261,26826,,NV
2016,New Hampshire,0.725,0.714,755850,744296,1076739,1042795,0.029,2818,0,0,2818,,NH
2016,New Jersey,0.658,0.644,3957303,3874046,6959892,6013656,0.120,18504,140589,15128,113768,,NJ
2016,New Mexico,0.549,0.545,804043,798319,1591069,1464515,0.069,6914,12714,2780,16941,,NM
2016,New York,0.572,0.568,7786881,7721453,15557982,13604645,0.120,46416,0,44426,90842,,NY
2016,North Carolina,0.649,0.645,4769640,4741564,7880013,7352501,0.055,34357,82466,12726,94089,,NC
2016,North Dakota,0.617,0.608,349945,344360,581188,566783,0.022,1791,0,0,1791,,ND
2016,Ohio,0.642,0.629,5607641,5496487,9007953,8736808,0.024,51666,0,0,51666,,OH
2016,Oklahoma,,0.523,,1452992,2965905,2778219,0.047,26691,33562,1895,47716,,OK
2016,Oregon,0.68,0.662,2056310,2001336,3244277,3024174,0.063,15166,0,0,15166,,OR
2016,Pennsylvania,,0.636,,6165478,10108486,9691160,0.037,48098,0,0,48098,,PA
2016,Rhode Island,0.597,0.591,469589,464144,848975,786012,0.071,3038,0,0,3038,,RI
2016,South Carolina,0.573,0.567,2123584,2103027,3883145,3709283,0.034,20350,32634,4347,43298,,SC
2016,South Dakota,0.6,0.586,378995,370093,653841,631173,0.025,3744,0,2687,6431,,SD
2016,Tennessee,0.518,0.511,2545271,2508027,5164969,4909426,0.035,27906,62609,12092,75685,,TN
2016,Texas,0.514,0.514,8975000,8969226,20671564,17448910,0.133,155327,374285,111287,479956,,TX
2016,Utah,0.579,0.568,1152369,1131430,2144784,1991885,0.069,5846,0,0,5846,,UT
2016,Vermont,0.648,0.637,320467,315067,506048,494871,0.022,0,0,0,0,,VT
2016,Virginia,,0.661,,3984631,6551390,6027152,0.069,36959,60821,1650,73277,,VA
2016,Washington,0.657,0.647,3363440,3317019,5691833,5123020,0.086,18335,89317,11322,80568,,WA
2016,West Virginia,,0.502,,714423,1453201,1423031,0.011,7137,6523,3550,14405,,WV
2016,Wisconsin,,0.695,,2976150,4495783,4285071,0.032,22889,44489,20401,68649,,WI
2016,Wyoming,0.602,0.595,258788,255849,446396,429682,0.024,2323,4666,842,5825,,WY
