Year,State,BallotsCountedVEP,HighestOfficeVEP,BallotsCounted,VotesHighestOffice,VAP,VEP,PctNonCitizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,StateAbbreviation
2020,Oklahoma,0.550,0.548,1565000,1560699,3031792,2845835,0.043,27558,41562,1780,55106,,OK
2020,Oregon,0.755,0.743,2413890,2374321,3405863,3196425,0.057,13795,0,0,13795,,OR
2020,Pennsylvania*,0.711,0.707,6958551,6915283,10186170,9781976,0.035,44148,0,0,44148,,PA
2020,Rhode Island,0.653,0.647,522488,517757,857507,799642,0.064,2766,0,0,2766,,RI
2020,South Carolina,0.645,0.640,2533010,2513329,4116633,3926305,0.036,18587,31975,4980,43392,,SC
2020,South Dakota,0.660,0.652,427529,422609,675016,648104,0.024,3867,5989,3201,10781,,SD
2020,Tennessee,0.598,0.596,3065000,3053851,5391220,5124867,0.036,26107,61253,10842,74926,,TN
2020,Texas,0.604,0.602,11350000,11315056,22058260,18784280,0.126,154913,368167,109213,492390,,TX
2020,Utah,0.692,0.679,1515845,1488289,2343384,2191487,0.062,6287,0,0,6287,,UT
2020,Vermont,0.742,0.735,370968,367428,511637,499884,0.023,0,0,0,0,,VT
2020,Virginia,0.730,0.720,4523142,4460524,6727440,6196071,0.068,35743,63111,1860,76732,,VA
2020,Washington,0.757,0.752,4116894,4087631,6070046,5437844,0.091,18777,76672,12222,78536,,WA
2020,West Virginia,0.576,0.570,802726,794652,1422098,1394028,0.009,6757,6593,4287,15132,,WV
2020,Wisconsin,0.758,0.755,3310000,3298041,4586746,4368530,0.032,23574,42909,21015,71193,,WI
2020,Wyoming,0.646,0.642,278503,276765,447915,431364,0.022,2488,5383,934,6759,,WY
2018,United States,0.503,0.497,118581921,117069210,255152703,235714420,0.083,1416810,2126035,494442,3123092,4793402,US
2018,Alabama,0.473,0.472,1721906,1719589,3802714,3641209,0.025,28680,52177,8562,66983,,AL
2018,Alaska,0.546,0.543,285009,283134,554426,521777,0.041,4317,6621,1812,9903,,AK
2018,Arizona,0.491,0.486,2409910,2384308,5519036,4910625,0.094,37582,77373,7500,89185,,AZ
2018,Arkansas,0.414,0.410,898793,891509,2319740,2171940,0.038,17242,30881,23792,58636,,AR
2018,California,0.496,0.486,12712542,12464235,30836229,25635139,0.164,130390,0,0,130390,,CA
2018,Colorado,0.63,0.615,2583580,2525062,4445013,4103903,0.070,18576,0,10186,28762,,CO
2018,Connecticut,0.544,0.538,1421953,1406803,2856023,2614176,0.078,14475,0,3379,17854,,CT
2018,Delaware,0.514,0.51,365467,362592,769716,710434,0.057,6254,15395,387,15416,,DE
2018,District of Columbia,0.437,0.425,231482,224658,577553,529198,0.084,0,0,0,0,,DC
2018,Florida,0.549,0.543,8318824,8220561,17168712,15140654,0.105,92847,214066,4566,219431,,FL
2018,Georgia,0.55,0.549,3949905,3939328,8063141,7178075,0.072,51092,410964,22386,307727,,GA
2018,Hawaii,0.393,0.385,398657,390843,1122119,1014363,0.091,5474,0,0,5474,,HI
2018,Idaho,0.5,0.494,612536,605131,1314172,1224275,0.044,7949,32409,5054,31476,,ID
2018,Illinois,0.514,0.507,4635541,4570842,9902219,9017850,0.085,42017,0,0,42017,,IL
2018,Indiana,0.469,0.464,2308258,2282565,5139352,4923068,0.037,24948,0,0,24948,,IN
2018,Iowa,0.577,0.574,1334279,1327638,2431468,2312204,0.036,8888,29254,6051,31614,,IA
2018,Kansas,0.512,0.509,1060000,1055566,2211696,2072292,0.052,9613,16654,4830,23936,,KS
2018,Kentucky,0.486,0.473,1612353,1569798,3469061,3319907,0.024,22868,48457,15383,65871,,KY
2018,Louisiana,0.448,0.43,1519405,1460585,3581751,3394257,0.027,35543,40174,30907,89349,,LA
2018,Maine,0.602,0.591,646013,634409,1092942,1073006,0.018,0,0,0,0,,ME
2018,Maryland,0.542,0.535,2335128,2304512,4742399,4306482,0.088,19382,0,0,19382,,MD
2018,Massachusetts,0.546,0.537,2752665,2707090,5546080,5042403,0.089,8780,0,0,8780,,MA
2018,Michigan,0.578,0.566,4341340,4250585,7841291,7513813,0.037,40502,0,0,40502,,MI
2018,Minnesota,0.642,0.639,2611365,2596879,4335998,4064389,0.046,10158,96852,7075,72439,,MN
2018,Mississippi,0.437,0.425,961025,936215,2278270,2201276,0.014,19150,29067,8645,44363,,MS
2018,Missouri,0.534,0.534,2442306,2442289,4764892,4570675,0.025,31956,43799,17792,74713,,MO
2018,Montana,0.62,0.614,509213,504384,835371,821710,0.012,3795,0,0,3795,,MT
2018,Nebraska,0.518,0.512,706652,698417,1458088,1364285,0.055,5079,13489,1088,13856,,NE
2018,Nevada,0.475,0.474,975980,972132,2380512,2052636,0.126,13742,13724,5261,26826,,NV
2018,New Hampshire,0.546,0.54,580568,573608,1096918,1062391,0.029,2818,0,0,2818,,NH
2018,New Jersey,0.531,0.518,3248642,3169310,7074259,6114344,0.120,18504,140589,15128,113768,,NJ
2018,New Mexico,0.473,0.47,701654,696459,1610112,1482246,0.069,6914,12714,2780,16941,,NM
2018,New York,0.452,0.443,6230959,6104477,15748183,13772077,0.120,46416,0,44426,90842,,NY
2018,North Carolina,0.496,0.487,3755778,3693104,8117590,7577011,0.055,34357,82466,12726,94089,,NC
2018,North Dakota,0.586,0.578,330598,326138,578460,564114,0.022,1791,0,0,1791,,ND
2018,Ohio,0.509,0.501,4496834,4429582,9113230,8839520,0.024,51666,0,0,51666,,OH
2018,Oklahoma,0.425,0.424,1190000,1186385,2987070,2798385,0.047,26691,33562,1895,47716,,OK
2018,Oregon,0.615,0.6,1914923,1866997,3339282,3113178,0.063,15166,0,0,15166,,OR
2018,Pennsylvania,0.517,0.514,5043029,5012555,10178261,9758386,0.037,48098,0,0,48098,,PA
2018,Rhode Island,0.481,0.475,381267,376738,856988,793460,0.071,3038,0,0,3038,,RI
2018,South Carolina,0.452,0.447,1726527,1707569,3996952,3819264,0.034,20350,32634,4347,43298,,SC
2018,South Dakota,0.533,0.53,341048,339214,663321,640417,0.025,3744,0,2687,6431,,SD
2018,Tennessee,0.451,0.446,2267428,2243740,5290993,5031061,0.035,27906,62609,12092,75685,,TN
2018,Texas,0.463,0.463,8375000,8371655,21390152,18072155,0.133,155327,374285,111287,479956,,TX
2018,Utah,0.52,0.512,1082972,1065630,2242122,2082549,0.069,5846,0,0,5846,,UT
2018,Vermont,0.559,0.551,278230,274087,508992,497750,0.022,0,0,0,0,,VT
2018,Virginia,0.548,0.546,3363505,3351373,6673763,6141102,0.069,36959,60821,1650,73277,,VA
2018,Washington,0.589,0.581,3133448,3086168,5903135,5316196,0.086,18335,89317,11322,80568,,WA
2018,West Virginia,0.425,0.417,597149,586034,1435238,1405262,0.011,7137,6523,3550,14405,,WV
2018,Wisconsin,0.617,0.616,2675000,2673308,4549459,4337051,0.032,22889,44489,20401,68649,,WI
2018,Wyoming,0.487,0.482,205275,203420,438237,421722,0.024,2323,4666,842,5825,,WY
2008,United States,0.622,0.616,132609063,131304731,230872030,213313508,0.084,1605448,2451085,627680,3144831,4972217,US
