StateFIPS,CongressionalDistrict,PUMA,StateAbbreviation,Population,FracCDInPUMA,FracPUMAInCD
1,4,100,AL,132873,0.1851,0.7265
1,5,100,AL,50031,0.0697,0.2735
1,5,200,AL,103570,0.1443,1
1,4,300,AL,33073,0.0461,0.2113
1,5,300,AL,123421,0.172,0.7887
1,5,401,AL,113502,0.1581,1
1,5,402,AL,153097,0.2133,1
1,5,403,AL,107983,0.1504,1
1,4,501,AL,97612,0.136,0.8779
1,5,501,AL,13571,0.0189,0.1221
1,4,600,AL,71608,0.0998,0.5766
1,5,600,AL,52579,0.0733,0.4234
1,3,700,AL,24971,0.0348,0.1945
1,4,700,AL,103436,0.1441,0.8055
1,3,800,AL,116441,0.1622,1
1,3,900,AL,91103,0.1269,0.6064
1,6,900,AL,59134,0.0824,0.3936
1,4,1000,AL,140747,0.1961,1
1,4,1100,AL,30293,0.0422,0.2406
1,6,1100,AL,22293,0.0311,0.1771
1,7,1100,AL,73306,0.1021,0.5823
1,4,1201,AL,32964,0.0459,0.3263
1,7,1201,AL,68048,0.0948,0.6737
1,4,1202,AL,9806,0.0137,0.0778
1,7,1202,AL,116218,0.1619,0.9222
1,4,1301,AL,65342,0.091,0.5642
1,6,1301,AL,44620,0.0622,0.3853
1,7,1301,AL,5855,0.0082,0.0506
1,6,1401,AL,9259,0.0129,0.0782
1,7,1401,AL,109150,0.1521,0.9218
1,6,1402,AL,129105,0.1799,0.9665
1,7,1402,AL,4476,0.0062,0.0335
1,6,1403,AL,41473,0.0578,0.2216
1,7,1403,AL,145693,0.203,0.7784
1,6,1404,AL,156237,0.2177,0.8441
1,7,1404,AL,28853,0.0402,0.1559
1,6,1501,AL,137436,0.1915,1
1,3,1502,AL,12405,0.0173,0.095
1,6,1502,AL,118197,0.1647,0.905
1,3,1600,AL,133408,0.1859,1
1,2,1700,AL,58805,0.0819,0.5066
1,7,1700,AL,57284,0.0798,0.4934
1,2,1801,AL,48189,0.0671,0.4404
1,7,1801,AL,61220,0.0853,0.5596
1,2,1802,AL,104172,0.1451,0.9877
1,7,1802,AL,1299,0.0018,0.0123
1,2,1901,AL,102051,0.1422,1
1,2,2000,AL,10357,0.0144,0.089
1,3,2000,AL,106002,0.1477,0.911
1,3,2101,AL,127904,0.1782,1
1,3,2201,AL,105520,0.147,1
1,2,2300,AL,151007,0.2104,1
1,2,2400,AL,102791,0.1432,1
1,2,2500,AL,128047,0.1784,1
1,1,2600,AL,71178,0.0992,0.5481
1,2,2600,AL,12336,0.0172,0.095
1,7,2600,AL,46352,0.0646,0.3569
1,1,2701,AL,118618,0.1653,1
1,1,2702,AL,113149,0.1576,1
1,1,2801,AL,139133,0.1938,1
1,1,2802,AL,129797,0.1808,1
1,1,2803,AL,145879,0.2032,1
2,0,101,AK,131989,0.18,1
2,0,102,AK,159258,0.2172,1
2,0,200,AK,165880,0.2262,1
2,0,300,AK,163324,0.2227,1
2,0,400,AK,112940,0.154,1
4,1,101,AZ,4699,0.0059,0.0253
4,4,101,AZ,24637,0.031,0.1325
4,5,101,AZ,156545,0.197,0.8422
4,1,102,AZ,75,0.0001,0.0005
4,4,102,AZ,143987,0.1812,0.9995
4,4,103,AZ,120951,0.1522,1
4,4,104,AZ,106201,0.1337,0.9958
4,5,104,AZ,452,0.0006,0.0042
4,5,105,AZ,165935,0.2088,1
4,4,106,AZ,100037,0.1259,0.8152
4,5,106,AZ,22673,0.0285,0.1848
4,4,107,AZ,3332,0.0042,0.026
4,5,107,AZ,124771,0.157,0.974
4,3,108,AZ,5322,0.0067,0.0493
4,4,108,AZ,102676,0.1292,0.9507
4,1,109,AZ,1,0,0
4,3,109,AZ,35,0,0.0003
4,4,109,AZ,108480,0.1365,0.9997
4,1,110,AZ,128498,0.1617,1
4,1,111,AZ,111602,0.1404,1
4,1,112,AZ,119895,0.1509,0.9171
4,8,112,AZ,10832,0.0136,0.0829
4,1,113,AZ,104693,0.1318,1
4,1,114,AZ,111355,0.1401,1
4,1,115,AZ,76493,0.0963,0.6976
4,8,115,AZ,33162,0.0417,0.3024
4,1,116,AZ,43728,0.055,0.3952
4,3,116,AZ,50530,0.0636,0.4567
4,8,116,AZ,16390,0.0206,0.1481
4,1,117,AZ,79987,0.1007,0.7275
4,3,117,AZ,29959,0.0377,0.2725
4,1,118,AZ,2084,0.0026,0.0179
4,3,118,AZ,110317,0.1388,0.9498
4,4,118,AZ,3745,0.0047,0.0322
4,3,119,AZ,117231,0.1475,1
4,3,120,AZ,28135,0.0354,0.2588
4,4,120,AZ,80565,0.1014,0.7412
4,3,121,AZ,147085,0.1851,0.8819
4,7,121,AZ,19694,0.0248,0.1181
4,3,122,AZ,102202,0.1286,1
4,3,123,AZ,115847,0.1458,1
4,3,124,AZ,45671,0.0575,0.3991
4,8,124,AZ,21748,0.0274,0.19
4,9,124,AZ,47026,0.0592,0.4109
4,3,125,AZ,23694,0.0298,0.2069
4,8,125,AZ,90852,0.1143,0.7931
4,8,126,AZ,129933,0.1635,1
4,8,127,AZ,121259,0.1526,1
4,8,128,AZ,110257,0.1388,1
4,1,129,AZ,11501,0.0145,0.0818
4,8,129,AZ,129072,0.1624,0.9182
4,8,130,AZ,78023,0.0982,0.6162
4,9,130,AZ,48604,0.0612,0.3838
4,8,131,AZ,28679,0.0361,0.2324
4,9,131,AZ,94720,0.1192,0.7676
4,7,132,AZ,26,0,0.0002
4,9,132,AZ,146725,0.1846,0.9998
4,3,133,AZ,18584,0.0234,0.1512
4,7,133,AZ,91983,0.1158,0.7485
4,9,133,AZ,12316,0.0155,0.1002
4,2,134,AZ,3583,0.0045,0.0212
4,7,134,AZ,2775,0.0035,0.0165
4,8,134,AZ,24403,0.0307,0.1447
4,9,134,AZ,137925,0.1736,0.8176
4,5,135,AZ,166371,0.2094,1
4,2,400,AZ,57992,0.073,0.5721
4,6,400,AZ,43376,0.0546,0.4279
4,2,500,AZ,145101,0.1826,1
4,2,601,AZ,1526,0.0019,0.0137
4,9,601,AZ,109673,0.138,0.9863
4,9,602,AZ,102068,0.1285,1
4,7,701,AZ,55883,0.0703,0.5236
4,9,701,AZ,50849,0.064,0.4764
4,2,803,AZ,17245,0.0217,0.1169
4,5,803,AZ,130332,0.164,0.8831
4,2,805,AZ,66569,0.0838,0.5426
4,5,805,AZ,27533,0.0346,0.2244
4,6,805,AZ,28584,0.036,0.233
4,2,807,AZ,93649,0.1179,0.6495
4,6,807,AZ,44277,0.0557,0.3071
4,7,807,AZ,6265,0.0079,0.0434
4,6,900,AZ,95946,0.1207,0.5542
4,7,900,AZ,77170,0.0971,0.4458
4,2,1000,AZ,172738,0.2174,1
4,7,1101,AZ,69000,0.0868,0.6068
4,9,1101,AZ,44706,0.0563,0.3932
4,6,1901,AZ,8040,0.0101,0.0722
4,7,1901,AZ,103320,0.13,0.9278
4,6,1902,AZ,67755,0.0853,0.4932
4,7,1902,AZ,69616,0.0876,0.5068
4,6,1903,AZ,116541,0.1467,1
4,6,1904,AZ,109666,0.138,1
4,6,1905,AZ,73389,0.0924,0.6604
4,7,1905,AZ,37732,0.0475,0.3396
4,6,1906,AZ,95790,0.1205,0.8433
4,7,1906,AZ,17801,0.0224,0.1567
4,6,1907,AZ,31043,0.0391,0.2663
4,7,1907,AZ,85546,0.1077,0.7337
4,6,1908,AZ,5334,0.0067,0.0464
4,7,1908,AZ,109681,0.138,0.9536
4,6,1909,AZ,74870,0.0942,0.6088
4,7,1909,AZ,48119,0.0606,0.3912
4,2,2502,AZ,135474,0.1705,1
4,2,2503,AZ,100735,0.1268,1
5,3,101,AR,171025,0.2271,1
5,3,102,AR,113308,0.1504,1
5,3,201,AR,140215,0.1862,1
5,3,202,AR,105656,0.1403,1
5,1,300,AR,103654,0.1377,0.6659
5,3,300,AR,44781,0.0595,0.2877
5,4,300,AR,7225,0.0096,0.0464
5,1,400,AR,75949,0.1009,0.6522
5,2,400,AR,40507,0.0538,0.3478
5,1,500,AR,112346,0.1493,1
5,1,600,AR,153939,0.2046,1
