StateFIPS,CongressionalDistrict,PUMA,StateAbbreviation,Population,FracCDInPUMA,FracPUMAInCD
1,4,100,AL,140103,0.1952,0.7369
1,5,100,AL,50031,0.0697,0.2631
1,5,200,AL,212046,0.2954,1
1,5,301,AL,136356,0.19,1
1,5,302,AL,105621,0.1472,1
1,4,400,AL,71608,0.0998,0.5766
1,5,400,AL,52579,0.0733,0.4234
1,4,500,AL,97612,0.136,0.7214
1,5,500,AL,37700,0.0525,0.2786
1,4,600,AL,33073,0.0461,0.2113
1,5,600,AL,123421,0.172,0.7887
1,4,700,AL,111406,0.1552,1
1,3,800,AL,91103,0.1269,0.6042
1,6,800,AL,59679,0.0831,0.3958
1,4,900,AL,103436,0.1441,1
1,3,1000,AL,158379,0.2207,1
1,3,1100,AL,116441,0.1622,1
1,6,1200,AL,224177,0.3123,0.9983
1,7,1200,AL,389,0.0005,0.0017
1,7,1301,AL,87721,0.1222,1
1,6,1302,AL,41916,0.0584,0.4184
1,7,1302,AL,58261,0.0812,0.5816
1,6,1303,AL,154434,0.2152,0.8421
1,7,1303,AL,28966,0.0404,0.1579
1,6,1304,AL,173180,0.2413,0.9437
1,7,1304,AL,10331,0.0144,0.0563
1,6,1305,AL,9466,0.0132,0.0803
1,7,1305,AL,108359,0.151,0.9197
1,4,1400,AL,117746,0.164,1
1,4,1500,AL,38093,0.0531,0.3041
1,7,1500,AL,87161,0.1214,0.6959
1,4,1600,AL,4677,0.0065,0.0387
1,7,1600,AL,116228,0.1619,0.9613
1,6,1700,AL,22293,0.0311,0.1806
1,7,1700,AL,101156,0.1409,0.8194
1,3,1800,AL,98875,0.1378,0.752
1,6,1800,AL,32609,0.0454,0.248
1,3,1900,AL,174241,0.2428,1
1,2,2000,AL,138980,0.1936,0.7072
1,7,2000,AL,57531,0.0802,0.2928
1,2,2100,AL,174237,0.2428,0.9193
1,7,2100,AL,15299,0.0213,0.0807
1,1,2200,AL,71178,0.0992,0.5481
1,2,2200,AL,12336,0.0172,0.095
1,7,2200,AL,46352,0.0646,0.3569
1,2,2300,AL,123280,0.1718,1
1,2,2400,AL,68589,0.0956,0.4656
1,3,2400,AL,78715,0.1097,0.5344
1,2,2500,AL,200333,0.2791,1
1,1,2600,AL,231767,0.3229,1
1,1,2701,AL,99024,0.138,1
1,1,2702,AL,110631,0.1541,1
1,1,2703,AL,205154,0.2858,1
2,0,101,AK,132800,0.1811,1
2,0,102,AK,158558,0.2162,1
2,0,200,AK,165791,0.2261,1
2,0,300,AK,163279,0.2226,1
2,0,400,AK,112963,0.154,1
4,5,100,AZ,179340,0.2257,1
4,1,101,AZ,4699,0.0059,0.0253
4,4,101,AZ,24637,0.031,0.1324
4,5,101,AZ,156759,0.1973,0.8424
4,1,102,AZ,97,0.0001,0.0007
4,4,102,AZ,143969,0.1812,0.9993
4,4,103,AZ,114776,0.1444,1
4,4,104,AZ,106201,0.1337,0.9958
4,5,104,AZ,452,0.0006,0.0042
4,5,105,AZ,153232,0.1928,1
4,4,106,AZ,99589,0.1253,0.8178
4,5,106,AZ,22193,0.0279,0.1822
4,4,107,AZ,3780,0.0048,0.0294
4,5,107,AZ,124771,0.157,0.9706
4,3,108,AZ,5322,0.0067,0.0493
4,4,108,AZ,102676,0.1292,0.9507
4,1,109,AZ,1,0,0
4,3,109,AZ,35,0,0.0003
4,4,109,AZ,117270,0.1476,0.9997
4,1,110,AZ,128268,0.1614,1
4,1,111,AZ,111499,0.1403,0.9996
4,4,111,AZ,18,0,0.0002
4,5,111,AZ,23,0,0.0002
4,1,112,AZ,120159,0.1512,0.9173
4,8,112,AZ,10832,0.0136,0.0827
4,1,113,AZ,105180,0.1324,1
4,1,114,AZ,111355,0.1401,1
4,1,115,AZ,76493,0.0963,0.6976
4,8,115,AZ,33162,0.0417,0.3024
4,1,116,AZ,43728,0.055,0.3952
4,3,116,AZ,50530,0.0636,0.4567
4,8,116,AZ,16390,0.0206,0.1481
4,1,117,AZ,79537,0.1001,0.761
4,3,117,AZ,24981,0.0314,0.239
4,1,118,AZ,2084,0.0026,0.0176
4,3,118,AZ,115405,0.1452,0.9734
4,4,118,AZ,1075,0.0014,0.0091
4,3,119,AZ,117260,0.1476,0.9995
4,4,119,AZ,55,0.0001,0.0005
4,3,120,AZ,28159,0.0354,0.259
4,4,120,AZ,80565,0.1014,0.741
4,2,121,AZ,22,0,0.0001
4,3,121,AZ,131627,0.1656,0.8697
4,7,121,AZ,19694,0.0248,0.1301
4,3,122,AZ,112213,0.1412,1
4,3,123,AZ,121141,0.1525,0.9998
4,9,123,AZ,25,0,0.0002
4,3,124,AZ,46053,0.058,0.4012
4,8,124,AZ,21748,0.0274,0.1894
4,9,124,AZ,46998,0.0591,0.4094
4,3,125,AZ,23302,0.0293,0.2048
4,8,125,AZ,90472,0.1139,0.7952
4,8,126,AZ,131160,0.1651,1
4,8,127,AZ,120988,0.1523,1
4,8,128,AZ,108237,0.1362,1
4,1,129,AZ,11501,0.0145,0.0808
4,8,129,AZ,130751,0.1645,0.9192
4,8,130,AZ,77298,0.0973,0.6156
4,9,130,AZ,48269,0.0607,0.3844
4,8,131,AZ,28679,0.0361,0.2318
4,9,131,AZ,95066,0.1196,0.7682
