StateFIPS,CongressionalDistrict,PUMA,StateAbbreviation,Population,FracCDInPUMA,FracPUMAInCD
1,4,100,AL,89340,0.1271,0.4885
1,5,100,AL,93564,0.1229,0.5115
1,5,200,AL,103570,0.1361,1
1,4,300,AL,33073,0.047,0.2113
1,5,300,AL,123421,0.1622,0.7887
1,5,401,AL,113502,0.1491,1
1,5,402,AL,153097,0.2012,1
1,5,403,AL,107983,0.1419,1
1,4,501,AL,97612,0.1389,0.8779
1,5,501,AL,13571,0.0178,0.1221
1,4,600,AL,71793,0.1021,0.5781
1,5,600,AL,52394,0.0688,0.4219
1,3,700,AL,23274,0.0317,0.1813
1,4,700,AL,105133,0.1496,0.8187
1,3,800,AL,116441,0.1584,1
1,3,900,AL,91103,0.1239,0.6064
1,4,900,AL,5012,0.0071,0.0334
1,6,900,AL,54122,0.0731,0.3602
1,4,1000,AL,140747,0.2002,1
1,4,1100,AL,30293,0.0431,0.2406
1,6,1100,AL,22293,0.0301,0.1771
1,7,1100,AL,73306,0.1103,0.5823
1,4,1201,AL,41635,0.0592,0.4122
1,7,1201,AL,59377,0.0893,0.5878
1,4,1202,AL,23002,0.0327,0.1825
1,7,1202,AL,103022,0.155,0.8175
1,4,1301,AL,65342,0.0929,0.5642
1,6,1301,AL,43600,0.0589,0.3765
1,7,1301,AL,6875,0.0103,0.0594
1,6,1401,AL,57987,0.0783,0.4897
1,7,1401,AL,60422,0.0909,0.5103
1,6,1402,AL,92188,0.1245,0.6901
1,7,1402,AL,41393,0.0623,0.3099
1,6,1403,AL,18027,0.0243,0.0963
1,7,1403,AL,169139,0.2545,0.9037
1,6,1404,AL,174068,0.235,0.9405
1,7,1404,AL,11022,0.0166,0.0595
1,6,1501,AL,137436,0.1855,1
1,6,1502,AL,130602,0.1763,1
1,3,1600,AL,133408,0.1815,1
1,2,1700,AL,58805,0.0848,0.5066
1,7,1700,AL,57284,0.0862,0.4934
1,2,1801,AL,66331,0.0957,0.6063
1,7,1801,AL,43078,0.0648,0.3937
1,2,1802,AL,69779,0.1006,0.6616
1,3,1802,AL,34568,0.047,0.3277
1,7,1802,AL,1124,0.0017,0.0107
1,2,1901,AL,94752,0.1366,0.9285
1,3,1901,AL,7299,0.0099,0.0715
1,2,2000,AL,10357,0.0149,0.089
1,3,2000,AL,95615,0.1301,0.8217
1,6,2000,AL,10387,0.014,0.0893
1,3,2101,AL,127904,0.174,1
1,3,2201,AL,105520,0.1435,1
1,2,2300,AL,151007,0.2178,1
1,2,2400,AL,102791,0.1482,1
1,2,2500,AL,128047,0.1846,1
1,1,2600,AL,79700,0.1097,0.6137
1,2,2600,AL,11597,0.0167,0.0893
1,7,2600,AL,38569,0.058,0.297
1,1,2701,AL,118618,0.1633,1
1,1,2702,AL,113149,0.1558,1
1,1,2801,AL,139133,0.1916,1
1,1,2802,AL,129797,0.1787,1
1,1,2803,AL,145879,0.2009,1
2,0,101,AK,131989,0.18,1
2,0,102,AK,159258,0.2172,1
2,0,200,AK,165880,0.2262,1
2,0,300,AK,163324,0.2227,1
2,0,400,AK,112940,0.154,1
4,5,101,AZ,185881,0.211,1
4,5,102,AZ,102908,0.1168,0.7143
4,6,102,AZ,18,0,0.0001
4,9,102,AZ,41136,0.0533,0.2855
4,9,103,AZ,120951,0.1567,1
4,5,104,AZ,106653,0.1211,1
4,5,105,AZ,165935,0.1883,1
4,5,106,AZ,25169,0.0286,0.2051
4,9,106,AZ,97541,0.1264,0.7949
4,5,107,AZ,128103,0.1454,1
4,7,108,AZ,5322,0.0068,0.0493
4,9,108,AZ,102676,0.133,0.9507
4,9,109,AZ,108516,0.1406,1
4,6,110,AZ,96278,0.1225,0.7493
4,9,110,AZ,32220,0.0417,0.2507
4,4,111,AZ,1102,0.0014,0.0099
4,5,111,AZ,5,0,0
4,6,111,AZ,110495,0.1406,0.9901
4,4,112,AZ,91,0.0001,0.0007
4,6,112,AZ,123750,0.1575,0.9466
4,8,112,AZ,6886,0.0082,0.0527
4,6,113,AZ,96846,0.1232,0.925
4,9,113,AZ,7847,0.0102,0.075
4,6,114,AZ,92762,0.118,0.833
4,9,114,AZ,18593,0.0241,0.167
4,6,115,AZ,101618,0.1293,0.9267
4,9,115,AZ,8037,0.0104,0.0733
4,7,116,AZ,48044,0.0609,0.4342
4,9,116,AZ,62604,0.0811,0.5658
4,7,117,AZ,26112,0.0331,0.2375
4,9,117,AZ,83834,0.1086,0.7625
4,7,118,AZ,110273,0.1399,0.9494
4,9,118,AZ,5873,0.0076,0.0506
4,7,119,AZ,117231,0.1487,1
4,7,120,AZ,28144,0.0357,0.2589
4,9,120,AZ,80556,0.1044,0.7411
4,3,121,AZ,34711,0.0446,0.2081
4,7,121,AZ,132068,0.1675,0.7919
4,7,122,AZ,102202,0.1296,1
4,3,123,AZ,37528,0.0483,0.3239
4,7,123,AZ,78319,0.0993,0.6761
4,7,124,AZ,109812,0.1393,0.9595
4,8,124,AZ,4633,0.0055,0.0405
4,6,125,AZ,70727,0.09,0.6175
4,7,125,AZ,30805,0.0391,0.2689
4,8,125,AZ,11566,0.0138,0.101
4,9,125,AZ,1448,0.0019,0.0126
4,6,126,AZ,6,0,0
4,8,126,AZ,129927,0.1552,1
4,8,127,AZ,121259,0.1448,1
4,6,128,AZ,60794,0.0774,0.5514
4,8,128,AZ,49463,0.0591,0.4486
4,4,129,AZ,187,0.0002,0.0013
4,6,129,AZ,32564,0.0414,0.2317
4,8,129,AZ,107822,0.1288,0.767
4,8,130,AZ,126627,0.1512,1
4,8,131,AZ,123399,0.1474,1
4,3,132,AZ,20948,0.0269,0.1427
4,4,132,AZ,13934,0.0173,0.0949
4,8,132,AZ,111869,0.1336,0.7623
4,3,133,AZ,112054,0.1441,0.9119
4,8,133,AZ,10829,0.0129,0.0881
4,1,134,AZ,3583,0.0047,0.0212
4,3,134,AZ,83247,0.1071,0.4935
4,4,134,AZ,48886,0.0608,0.2898
4,8,134,AZ,32970,0.0394,0.1955
4,5,135,AZ,166371,0.1888,1
4,1,400,AZ,73039,0.096,0.7205
4,4,400,AZ,28329,0.0352,0.2795
4,1,500,AZ,145101,0.1907,1
4,1,601,AZ,1526,0.002,0.0137
4,4,601,AZ,109673,0.1364,0.9863
4,4,602,AZ,102068,0.1269,1
4,3,701,AZ,57050,0.0734,0.5345
4,4,701,AZ,49682,0.0618,0.4655
4,4,803,AZ,147577,0.1835,1
4,1,805,AZ,62042,0.0815,0.5057
4,4,805,AZ,60644,0.0754,0.4943
4,1,807,AZ,143726,0.1889,0.9968
4,3,807,AZ,465,0.0006,0.0032
4,2,900,AZ,125447,0.1685,0.7246
4,3,900,AZ,47669,0.0613,0.2754
4,1,1000,AZ,172738,0.227,1
4,3,1101,AZ,75491,0.0971,0.6639
4,4,1101,AZ,38215,0.0475,0.3361
4,2,1901,AZ,8359,0.0112,0.0751
4,3,1901,AZ,103001,0.1325,0.9249
4,1,1902,AZ,59637,0.0784,0.4341
4,2,1902,AZ,18350,0.0246,0.1336
4,3,1902,AZ,59384,0.0764,0.4323
4,1,1903,AZ,65467,0.086,0.5618
4,2,1903,AZ,51074,0.0686,0.4382
4,1,1904,AZ,1717,0.0023,0.0157
4,2,1904,AZ,107949,0.145,0.9843
4,2,1905,AZ,104436,0.1403,0.9398
4,3,1905,AZ,6685,0.0086,0.0602
4,2,1906,AZ,113591,0.1526,1
4,2,1907,AZ,89940,0.1208,0.7714
4,3,1907,AZ,26649,0.0343,0.2286
4,2,1908,AZ,3673,0.0049,0.0319
4,3,1908,AZ,111342,0.1432,0.9681
4,2,1909,AZ,121659,0.1634,0.9892
4,3,1909,AZ,1330,0.0017,0.0108
4,4,2502,AZ,135474,0.1684,1
4,1,2503,AZ,32274,0.0424,0.3204
4,4,2503,AZ,68461,0.0851,0.6796
5,3,101,AR,171025,0.2038,1
5,3,102,AR,113308,0.135,1
5,3,201,AR,140215,0.1671,1
5,3,202,AR,105656,0.1259,1
5,1,300,AR,48904,0.0683,0.3142
5,3,300,AR,86520,0.1031,0.5558
5,4,300,AR,20236,0.0295,0.13
5,1,400,AR,100660,0.1405,0.8644
5,2,400,AR,15796,0.0205,0.1356
5,1,500,AR,112346,0.1568,1
5,1,600,AR,153939,0.2149,1
5,1,700,AR,134196,0.1873,1
5,1,800,AR,38105,0.0532,0.3316
5,2,800,AR,76822,0.0998,0.6684
5,1,900,AR,74015,0.1033,0.3747
5,2,900,AR,123498,0.1605,0.6253
5,2,1000,AR,20715,0.0269,0.1592
5,3,1000,AR,63381,0.0755,0.4871
5,4,1000,AR,46012,0.067,0.3536
5,3,1100,AR,159042,0.1895,0.7757
5,4,1100,AR,45987,0.067,0.2243
5,4,1200,AR,133438,0.1943,1
5,4,1300,AR,173321,0.2524,1
5,2,1400,AR,133435,0.1734,0.8814
5,4,1400,AR,17958,0.0262,0.1186
5,2,1501,AR,200774,0.261,1
5,2,1502,AR,198351,0.2578,1
5,1,1600,AR,54223,0.0757,0.3126
5,4,1600,AR,119237,0.1737,0.6874
5,4,1700,AR,130409,0.1899,1
6,13,101,CA,144592,0.1853,1
6,13,111,CA,106433,0.1364,1
6,13,112,CA,106896,0.137,1
6,13,113,CA,125840,0.1613,1
6,13,114,CA,193381,0.2478,0.9925
6,15,114,CA,1471,0.0018,0.0075
6,13,115,CA,1772,0.0023,0.0164
6,15,115,CA,106141,0.1332,0.9836
6,15,116,CA,102035,0.1281,1
6,15,117,CA,55782,0.07,0.5276
6,17,117,CA,49939,0.0638,0.4724
6,15,118,CA,97015,0.1218,0.7714
6,17,118,CA,28750,0.0367,0.2286
6,15,119,CA,126178,0.1584,1
6,15,120,CA,118663,0.1489,1
6,15,121,CA,20,0,0.0002
6,17,121,CA,115667,0.1477,0.9998
6,15,122,CA,100310,0.1259,1
6,13,123,CA,101468,0.13,1
6,4,300,CA,159721,0.2079,0.8322
6,8,300,CA,32211,0.0426,0.1678
6,1,700,CA,211632,0.3015,1
6,1,1100,CA,67973,0.0968,0.5122
6,2,1100,CA,16112,0.0224,0.1214
6,3,1100,CA,48612,0.0638,0.3663
6,11,1301,CA,129420,0.1685,1
6,11,1305,CA,54592,0.0711,0.3799
6,15,1305,CA,89096,0.1118,0.6201
6,9,1308,CA,86289,0.1073,0.7182
6,11,1308,CA,33865,0.0441,0.2818
6,9,1309,CA,125577,0.1562,0.9992
6,11,1309,CA,99,0.0001,0.0008
6,5,1310,CA,65472,0.0899,0.4645
6,11,1310,CA,75490,0.0983,0.5355
6,5,1311,CA,31616,0.0434,0.2577
6,11,1311,CA,91085,0.1186,0.7423
6,11,1312,CA,103075,0.1342,1
6,11,1313,CA,177708,0.2314,1
6,11,1314,CA,102543,0.1335,1
6,1,1500,CA,105296,0.15,0.7915
6,2,1500,CA,27743,0.0386,0.2085
6,4,1700,CA,191185,0.2488,1
6,16,1901,CA,2898,0.0039,0.0197
6,21,1901,CA,144335,0.2027,0.9803
6,16,1902,CA,11692,0.0156,0.0612
6,22,1902,CA,179291,0.2276,0.9388
6,16,1903,CA,72445,0.0964,0.6552
6,22,1903,CA,38117,0.0484,0.3448
6,16,1904,CA,166535,0.2216,0.9249
6,21,1904,CA,177,0.0002,0.001
6,22,1904,CA,13348,0.0169,0.0741
6,16,1905,CA,87566,0.1165,0.751
6,21,1905,CA,2096,0.0029,0.018
6,22,1905,CA,26935,0.0342,0.231
6,22,1906,CA,129784,0.1647,1
6,4,1907,CA,14949,0.0195,0.112
6,21,1907,CA,59956,0.0842,0.4493
6,22,1907,CA,58530,0.0743,0.4386
6,2,2300,CA,136463,0.1898,1
6,51,2500,CA,179702,0.2529,1
6,21,2903,CA,63301,0.0889,0.3761
6,23,2903,CA,105024,0.1352,0.6239
6,21,2904,CA,108047,0.1517,0.9485
6,23,2904,CA,5865,0.0076,0.0515
6,21,2905,CA,20827,0.0292,0.1081
6,23,2905,CA,171844,0.2212,0.8919
6,21,2906,CA,128403,0.1803,0.8174
6,23,2906,CA,28682,0.0369,0.1826
6,23,2907,CA,107020,0.1378,1
6,23,2908,CA,170222,0.2192,1
6,21,3100,CA,152486,0.2141,1
6,2,3300,CA,91601,0.1274,0.5734
6,3,3300,CA,36339,0.0477,0.2275
6,5,3300,CA,31824,0.0437,0.1992
6,23,3703,CA,86267,0.1111,0.4766
6,25,3703,CA,94725,0.1257,0.5234
6,23,3704,CA,2970,0.0038,0.0159
6,25,3704,CA,184247,0.2444,0.9841
6,25,3705,CA,14864,0.0197,0.0828
6,29,3705,CA,3647,0.0051,0.0203
6,30,3705,CA,160901,0.2152,0.8968
6,25,3706,CA,66,0.0001,0.0005
6,29,3706,CA,93426,0.1314,0.6532
6,30,3706,CA,49532,0.0662,0.3463
6,28,3707,CA,565,0.0008,0.0038
6,29,3707,CA,148525,0.2089,0.9962
6,28,3708,CA,60361,0.0847,0.4403
6,29,3708,CA,76723,0.1079,0.5597
6,25,3709,CA,1,0,0
6,27,3709,CA,63682,0.0899,0.571
6,28,3709,CA,41122,0.0577,0.3687
6,29,3709,CA,67,0.0001,0.0006
6,32,3709,CA,6655,0.0094,0.0597
6,27,3710,CA,7375,0.0104,0.0407
6,32,3710,CA,173711,0.2464,0.9593
6,27,3711,CA,71234,0.1005,0.4322
6,32,3711,CA,93587,0.1327,0.5678
6,27,3712,CA,228,0.0003,0.0015
6,35,3712,CA,151711,0.2051,0.9985
6,32,3713,CA,84538,0.1199,0.7334
