StateFIPS,PUMA,CongressionalDistrict,StateAbbreviation,Population2016,PUMAWgt
4,206,2,AZ,105904.832,1
4,207,1,AZ,0,0
4,207,2,AZ,79407.632,0.752
4,207,3,AZ,26256.694,0.248
4,208,2,AZ,13.477,0
4,208,3,AZ,112011.836,1
4,209,2,AZ,118465.086,0.99
4,209,3,AZ,1207.717,0.01
4,300,1,AZ,183138,1
4,400,1,AZ,140908,1
4,500,1,AZ,32622.281,0.145
4,500,4,AZ,192939.719,0.855
4,600,1,AZ,1676.352,0.007
4,600,4,AZ,223889.648,0.993
4,700,3,AZ,133652.639,0.65
4,700,4,AZ,71978.361,0.35
4,800,1,AZ,85373.219,0.756
4,800,4,AZ,27490.862,0.244
4,803,4,AZ,137570.089,1
4,805,1,AZ,67095.38,0.528
4,805,4,AZ,60041.561,0.472
4,807,1,AZ,141129.857,0.996
4,807,3,AZ,607.032,0.004
4,900,2,AZ,125770,0.732
4,900,3,AZ,45985,0.268
5, , ,AR,0, 
5,100,3,AR,258291,1
5,200,3,AR,228049,1
5,300,1,AR,48494.302,0.314
5,300,3,AR,85688.144,0.555
5,300,4,AR,20129.554,0.13
5,400,1,AR,117684,0.876
5,400,2,AR,16628,0.124
5,500,1,AR,188877.11,1
5,600,1,AR,102728.89,1
5,700,1,AR,102710,1
5,800,1,AR,32113,0.288
5,800,2,AR,79263,0.712
5,900,2,AR,203151.289,1
5,1000,2,AR,190098.711,1
5,1100,1,AR,72228,0.371
5,1100,2,AR,122227,0.629
5,1200,2,AR,118703,1
5,1300,2,AR,31069,0.218
5,1300,3,AR,63779,0.447
5,1300,4,AR,47728,0.335
5,1400,3,AR,159218.574,0.838
5,1400,4,AR,30841.426,0.162
5,1500,4,AR,100155,1
5,1600,4,AR,162387,1
5,1700,1,AR,13379.074,0.135
5,1700,4,AR,85675.673,0.865
5,1800,1,AR,43783.253,0.429
5,1800,4,AR,58380,0.571
5,1900,4,AR,100499,1
5,2000,4,AR,104289,1
6,101,13,CA,143050.685,1
6,102,13,CA,172477.107,1
6,103,13,CA,136624.701,1
6,103,15,CA,0,0
6,104,13,CA,135947.191,1
6,105,13,CA,176955.658,0.992
6,105,15,CA,1459.757,0.008
6,105,17,CA,0,0
6,106,13,CA,1814.331,0.012
6,106,15,CA,145199.953,0.988
6,107,15,CA,158909.445,1
6,108,15,CA,98715.762,0.668
6,108,17,CA,49007.671,0.332
6,109,15,CA,60322.42,0.291
6,109,17,CA,146709.895,0.709
6,110,9,CA,0,0
6,110,15,CA,220508.334,1
6,110,17,CA,1.091,0
6,300,4,CA,154839,0.828
6,300,8,CA,32125,0.172
6,701,1,CA,114864.337,1
6,702,1,CA,111999.663,1
6,1100,1,CA,65593.946,0.522
6,1100,2,CA,12782,0.102
6,1100,3,CA,47355.054,0.377
6,1301,11,CA,124197.68,1
6,1302,5,CA,53184.14,0.414
6,1302,11,CA,75227.153,0.586
6,1303,5,CA,45250.343,0.323
6,1303,11,CA,95014.033,0.677
6,1304,11,CA,127451.489,1
6,1305,9,CA,0,0
6,1305,11,CA,53727.343,0.399
6,1305,15,CA,81083.36,0.601
6,1306,11,CA,121421.068,1
6,1307,11,CA,130362.279,1
6,1308,9,CA,82906.661,0.715
6,1308,11,CA,33106.18,0.285
6,1309,9,CA,112103.293,0.999
6,1309,11,CA,91.977,0.001
6,1500,1,CA,101895,0.787
6,1500,2,CA,27540,0.213
6,1700,4,CA,185625,1
6,1901,16,CA,3180.551,0.021
6,1901,21,CA,149237.332,0.979
6,1902,16,CA,8546.413,0.047
6,1902,22,CA,174334.193,0.953
6,1903,16,CA,73390.678,0.684
6,1903,22,CA,33905.512,0.316
6,1904,16,CA,166008.944,0.926
6,1904,21,CA,166.4,0.001
6,1904,22,CA,13009.716,0.073
6,1905,16,CA,90831.049,0.797
6,1905,21,CA,2250.608,0.02
6,1905,22,CA,20846.298,0.183
6,1906,22,CA,108098.7,1
6,1907,4,CA,15704.758,0.115
6,1907,21,CA,60504.183,0.445
6,1907,22,CA,59899.667,0.44
6,2300,2,CA,136646,1
6,2500,51,CA,180883,1
6,2901,21,CA,132677.471,0.663
6,2901,23,CA,67501.057,0.337
6,2902,23,CA,211146.291,1
6,2903,21,CA,67660.178,0.414
6,2903,23,CA,95827.77,0.586
6,2904,21,CA,108033.726,0.951
6,2904,23,CA,5616.658,0.049
6,2905,21,CA,22218.993,0.113
6,2905,23,CA,174105.855,0.887
6,3100,21,CA,149785,1
6,3300,2,CA,87628,0.577
6,3300,3,CA,33328.62,0.22
6,3300,5,CA,30787.38,0.203
6,3701,23,CA,6.195,0
6,3701,25,CA,142582.878,0.988
6,3701,27,CA,1012.903,0.007
6,3701,28,CA,529.683,0.004
6,3701,29,CA,99.122,0.001
6,3701,32,CA,116.675,0.001
6,3702,25,CA,194219.249,1
6,3703,23,CA,82782.364,0.49
6,3703,25,CA,86171.098,0.51
6,3704,23,CA,2992.246,0.018
6,3704,25,CA,166617.9,0.982
6,3705,25,CA,15033.504,0.087
6,3705,29,CA,3626.213,0.021
6,3705,30,CA,153701.063,0.892
6,3706,25,CA,62.984,0
6,3706,29,CA,90923.792,0.646
6,3706,30,CA,49863.532,0.354
6,3707,28,CA,540.008,0.003
6,3707,29,CA,155336.576,0.997
6,3708,28,CA,59651.831,0.422
6,3708,29,CA,81631.103,0.578
6,3709,27,CA,64674.012,0.568
6,3709,28,CA,42231.138,0.371
6,3709,32,CA,6880.719,0.06
6,3710,27,CA,2767.156,0.015
6,3710,32,CA,176929.686,0.985
6,3711,27,CA,73975.993,0.437
6,3711,32,CA,93959.403,0.555
6,3711,35,CA,1337.115,0.008
6,3712,27,CA,212.699,0.001
6,3712,35,CA,151459.46,0.999
6,3712,39,CA,0,0
6,3713,32,CA,81108.648,0.716
6,3713,35,CA,553.431,0.005
6,3713,39,CA,31570.359,0.279
6,3714,32,CA,180.691,0.002
6,3714,35,CA,555.496,0.005
6,3714,39,CA,111940.755,0.993
6,3715,32,CA,124017.119,1
6,3716,32,CA,108590.224,0.953
6,3716,38,CA,5315.418,0.047
6,3716,39,CA,34.073,0
6,3717,27,CA,177374.703,0.908
6,3717,32,CA,17872.937,0.092
6,3718,27,CA,128132.748,0.918
6,3718,28,CA,11389.738,0.082
6,3719,28,CA,196994.665,1
6,3720,28,CA,97487.527,0.799
6,3720,30,CA,24497.591,0.201
6,3721,28,CA,0,0
6,3721,29,CA,115007.342,0.835
6,3721,30,CA,22785.672,0.165
6,3722,29,CA,132223.596,0.804
6,3722,30,CA,32267.311,0.196
6,3723,29,CA,145846.677,1
6,3724,29,CA,1069.692,0.006
6,3724,30,CA,171691.708,0.994
6,3725,30,CA,173947.766,1
6,3726,26,CA,8538.948,0.081
6,3726,30,CA,5687.125,0.054
6,3726,33,CA,90577.897,0.864
6,3727,28,CA,2541.034,0.016
6,3727,29,CA,0,0
6,3727,30,CA,89205.677,0.571
6,3727,33,CA,64440.663,0.413
6,3728,33,CA,105844.751,1
6,3728,37,CA,0,0
6,3729,33,CA,37939.981,0.188
6,3729,37,CA,164189.411,0.812
6,3730,33,CA,49276.028,0.29
6,3730,34,CA,29441.301,0.173
6,3730,37,CA,91004.328,0.536
6,3731,28,CA,76306.393,0.682
6,3731,33,CA,35617.841,0.318
6,3732,28,CA,163894.11,0.898
6,3732,33,CA,1053.171,0.006
6,3732,34,CA,17513.62,0.096
6,3733,34,CA,116343.424,1
6,3734,28,CA,74193.855,0.367
6,3734,34,CA,127738.325,0.633
6,3734,37,CA,4.13,0
6,3735,27,CA,3.098,0
6,3735,28,CA,3.098,0
6,3735,34,CA,200059.187,1
6,3736,27,CA,112240.186,0.947
6,3736,28,CA,0,0
6,3736,34,CA,6228.166,0.053
6,3737,27,CA,129944.822,0.98
6,3737,32,CA,89.829,0.001
6,3737,38,CA,517.293,0.004
6,3737,40,CA,2073.302,0.016
6,3738,27,CA,16.52,0
6,3738,32,CA,116017.147,0.855
6,3738,38,CA,19640.613,0.145
6,3739,32,CA,1.033,0
6,3739,38,CA,113888.089,0.663
6,3739,39,CA,58008.057,0.337
6,3740,27,CA,1458.952,0.011
6,3740,38,CA,130798.717,0.985
6,3740,40,CA,553.431,0.004
6,3741,40,CA,148158.491,1
6,3742,40,CA,102951.628,0.757
6,3742,44,CA,33115.011,0.243
6,3743,34,CA,26932.275,0.21
6,3743,38,CA,56.789,0
6,3743,40,CA,101050.757,0.789
6,3744,34,CA,171130.016,0.972
6,3744,37,CA,2776.449,0.016
6,3744,40,CA,2224.05,0.013
6,3745,37,CA,2627.766,0.021
6,3745,40,CA,123602.046,0.979
6,3746,34,CA,30376.765,0.268
6,3746,37,CA,83026.039,0.732
6,3747,37,CA,163424.313,1
6,3748,33,CA,36616.289,0.199
6,3748,37,CA,91640.361,0.499
6,3748,43,CA,55289.43,0.301
6,3749,43,CA,117392.465,1
6,3750,37,CA,127070.284,0.712
6,3750,43,CA,51392.696,0.288
6,3750,44,CA,73.309,0
6,3751,40,CA,37078.859,0.242
6,3751,43,CA,67871.73,0.444
6,3751,44,CA,47999.832,0.314
6,3752,40,CA,0,0
6,3752,44,CA,176929.686,1
6,3753,40,CA,113823.04,1
6,3754,38,CA,140422.844,1
6,3754,40,CA,0,0
6,3755,38,CA,111825.112,0.894
6,3755,40,CA,13320.552,0.106
6,3756,38,CA,40250.763,0.332
6,3756,40,CA,80926.924,0.668
6,3757,40,CA,0,0
6,3757,44,CA,161722.718,1
6,3758,43,CA,158935.944,1
6,3759,43,CA,116664.538,1
6,3760,33,CA,142532.284,1
6,3761,33,CA,42969.39,0.332
6,3761,43,CA,86456.074,0.668
6,3762,43,CA,22404.671,0.192
6,3762,44,CA,94086.403,0.808
6,3762,47,CA,0,0
6,3763,38,CA,892.098,0.006
6,3763,44,CA,86173.163,0.585
6,3763,47,CA,60192.872,0.409
6,3764,38,CA,146082.091,0.889
6,3764,47,CA,18208.506,0.111
6,3765,47,CA,134323.743,1
6,3766,44,CA,0,0
6,3766,47,CA,105534.995,1
6,3767,33,CA,29069.594,0.159
6,3767,43,CA,28331.341,0.155
6,3767,44,CA,125662.958,0.686
6,3768,33,CA,89825.189,0.781
6,3768,43,CA,21024.191,0.183
6,3768,44,CA,0,0
6,3768,47,CA,4229.206,0.037
6,3769,47,CA,103938.718,1
6,3900,4,CA,29172.635,0.189
6,3900,16,CA,125524.365,0.811
6,4101,2,CA,108270.606,1
6,4102,2,CA,152380.394,1
6,4701,16,CA,109884.393,1
6,4702,16,CA,158787.607,1
6,5301,20,CA,183471.758,1
6,5302,20,CA,171135.936,1
6,5303,20,CA,140038.307,1
6,5500,5,CA,142166,1
6,5700,1,CA,85611.093,0.839
6,5700,4,CA,16442.907,0.161
6,5901,45,CA,26.348,0
6,5901,48,CA,69578.488,0.372
6,5901,49,CA,117667.626,0.628
6,5902,45,CA,103204.735,0.925
6,5902,49,CA,8414.466,0.075
6,5903,45,CA,61381.128,0.293
6,5903,48,CA,148113.154,0.707
6,5903,49,CA,0,0
6,5904,45,CA,210960.28,1
6,5904,46,CA,0,0
6,5904,48,CA,33.725,0
6,5905,39,CA,48.48,0
6,5905,45,CA,200559.182,0.964
6,5905,46,CA,7495.451,0.036
6,5906,39,CA,186549.475,1
6,5906,45,CA,1.054,0
6,5907,39,CA,193885.785,0.97
6,5907,46,CA,5956.734,0.03
6,5908,38,CA,16410.528,0.088
6,5908,39,CA,60262.923,0.321
6,5908,46,CA,2793.932,0.015
6,5908,47,CA,83057.021,0.443
6,5908,48,CA,25012.591,0.133
6,5909,39,CA,3169.126,0.021
6,5909,46,CA,140880.128,0.914
6,5909,47,CA,10009.041,0.065
6,5910,39,CA,9660.195,0.048
6,5910,45,CA,32721.987,0.163
6,5910,46,CA,158457.341,0.789
6,5911,39,CA,2010.872,0.014
6,5911,45,CA,72737.074,0.5
6,5911,46,CA,70612.379,0.486
6,5912,46,CA,6496.339,0.037
6,5912,47,CA,120752.438,0.686
6,5912,48,CA,48655.091,0.277
6,5913,46,CA,58745.284,0.349
6,5913,47,CA,88206.455,0.523
6,5913,48,CA,21555.746,0.128
6,5914,47,CA,3442.09,0.017
6,5914,48,CA,197058.073,0.983
6,5914,49,CA,0,0
6,5915,45,CA,58932.881,0.559
