StateFIPS,PUMA,CongressionalDistrict,StateAbbreviation,Population2010,PUMAWgt
1,100,4,AL,54428,0.37
1,100,5,AL,92709,0.63
1,200,5,AL,173632,1
1,300,5,AL,243961,1
1,400,4,AL,71309,0.574
1,400,5,AL,53027,0.426
1,500,4,AL,197909,1
1,600,4,AL,34339,0.223
1,600,5,AL,119490,0.777
1,700,4,AL,94285,0.738
1,700,7,AL,33509,0.262
1,800,3,AL,83593,0.402
1,800,4,AL,71915,0.346
1,800,6,AL,52430,0.252
1,901,6,AL,12693,0.142
1,901,7,AL,76932,0.858
1,902,6,AL,7,0
1,902,7,AL,100826,1
1,903,6,AL,158113,0.929
1,903,7,AL,12044,0.071
1,904,6,AL,129289,0.691
1,904,7,AL,57845,0.309
1,905,6,AL,57105,0.516
1,905,7,AL,53612,0.484
1,1000,4,AL,104430,1
1,1100,3,AL,158327,0.989
1,1100,4,AL,1774,0.011
1,1200,3,AL,118568,1
1,1300,6,AL,195085,1
1,1400,4,AL,52430,0.269
1,1400,7,AL,142226,0.731
1,1500,6,AL,22915,0.186
1,1500,7,AL,100242,0.814
1,1600,3,AL,75801,0.579
1,1600,6,AL,55182,0.421
1,1700,3,AL,140184,1
1,1800,2,AL,123425,0.624
1,1800,3,AL,74492,0.376
1,1900,2,AL,134646,0.658
1,1900,3,AL,19766,0.097
1,1900,7,AL,50235,0.245
1,2000,2,AL,145220,0.916
1,2000,3,AL,12088,0.076
1,2000,7,AL,1282,0.008
1,2100,1,AL,87563,0.565
1,2100,2,AL,13228,0.085
1,2100,7,AL,54067,0.349
1,2200,1,AL,190370,1
1,2300,1,AL,222622,1
1,2400,1,AL,182265,1
1,2500,2,AL,114499,1
1,2600,2,AL,151802,1
2,101,0,AK,132542,1
2,102,0,AK,159284,1
2,200,0,AK,144395,1
2,300,0,AK,172208,1
2,400,0,AK,101802,1
4,101,4,AZ,22193,0.154
4,101,8,AZ,122346,0.846
4,102,8,AZ,146208,1
4,103,4,AZ,79,0
4,103,6,AZ,129794,0.553
4,103,8,AZ,104917,0.447
4,104,6,AZ,203305,1
4,105,4,AZ,125,0.001
4,105,6,AZ,168699,0.963
4,105,8,AZ,6390,0.036
4,106,4,AZ,1122,0.011
4,106,6,AZ,69587,0.695
4,106,9,AZ,29453,0.294
4,107,6,AZ,121992,0.869
4,107,9,AZ,18327,0.131
4,108,8,AZ,113505,1
4,109,3,AZ,4277,0.025
4,109,7,AZ,96974,0.567
4,109,8,AZ,69803,0.408
4,110,1,AZ,2994,0.009
4,110,3,AZ,174428,0.515
4,110,4,AZ,13749,0.041
4,110,8,AZ,147249,0.435
4,111,3,AZ,44771,0.246
4,111,6,AZ,11254,0.062
4,111,7,AZ,125840,0.692
4,112,6,AZ,5400,0.035
4,112,7,AZ,71101,0.457
4,112,9,AZ,79061,0.508
4,113,7,AZ,24671,0.25
4,113,9,AZ,74022,0.75
4,114,5,AZ,181064,0.917
4,114,9,AZ,16427,0.083
4,115,5,AZ,16415,0.115
4,115,9,AZ,126639,0.885
4,116,7,AZ,5523,0.033
4,116,9,AZ,160464,0.967
4,117,7,AZ,138735,1
4,118,3,AZ,2258,0.013
4,118,7,AZ,168253,0.987
4,119,7,AZ,79127,0.506
4,119,9,AZ,77105,0.494
4,120,5,AZ,123837,0.49
4,120,9,AZ,128651,0.51
4,121,5,AZ,245716,1
4,121,9,AZ,75,0
4,122,5,AZ,143192,1
4,201,2,AZ,10640,0.076
4,201,3,AZ,129160,0.924
4,202,2,AZ,102992,0.989
4,202,3,AZ,1165,0.011
4,203,1,AZ,1723,0.017
4,203,2,AZ,102611,0.983
